population,generations,p_add,p_flip,p_mut,cost_mean,cost_median,cost_min,cost_max,cost_count,latency_mean,latency_median,latency_min,latency_max,latency_count,energy_mean,energy_median,energy_min,energy_max,energy_count,qoa_mean,qoa_median,qoa_min,qoa_max,qoa_count,file_unique_solutions_mean,file_unique_solutions_median,file_unique_solutions_min,file_unique_solutions_max,file_unique_solutions_count,time_per_generation_s_mean,time_per_generation_s_median,time_per_generation_s_min,time_per_generation_s_max,time_per_generation_s_count,total_cost_mean,total_cost_median,total_cost_min,total_cost_max,total_cost_count,total_energy_mean,total_energy_median,total_energy_min,total_energy_max,total_energy_count,total_latency_mean,total_latency_median,total_latency_min,total_latency_max,total_latency_count,quality_of_answer_mean,quality_of_answer_median,quality_of_answer_min,quality_of_answer_max,quality_of_answer_count,TOPSIS_Score,Rank
200,200,0.3,0.1,0.3,0.0243416592938416,0.01434,0.0004800433999999,0.1939230498,13720,187.88887283824724,73.27058642752255,11.115,653.83176534,13720,187.8633349642901,68.22352716593245,8.199664096916301,685.1964779399999,13720,0.7553661375773427,0.6504931281979007,0.2681402462178368,1.938980307888329,13720,58.067055393586,57.0,29,105,13720,21.50912831040235,25.46780725955963,13.974493366479871,29.13734428763389,13720,0.0559396648250728,0.0524827999999999,0.00415,0.3018392,13720,51.28207507122789,52.33546433011521,5.56136563876652,229.48203262096337,13720,53.63753076220457,49.409008810572686,7.470000000000001,312.83762743864065,13720,0.6599975393981871,0.641463041305542,-0.1244519501924514,1.000000238418579,13720,0.8858987636289929,2
200,200,0.1,0.1,0.3,0.0290427023210698,0.0206324999999999,0.0004800433999999,0.2328643945999998,12700,191.1565690962412,183.9424714987537,11.115,636.49906488,12700,188.73468955023137,189.55319751540907,8.199664096916301,657.53380434,12700,0.7543537308097107,0.6245160202185313,0.2681402462178368,1.9124780901832683,12700,64.48503937007874,44.0,28,129,12700,21.312880529536976,25.46780725955963,13.974493366479871,29.13734428763389,12700,0.0587237547874015,0.05491,0.00415,0.3135046,12700,53.93324897551878,52.28402653494896,5.56136563876652,223.0844497032803,12700,56.92316670230739,50.40095238095238,7.740000000000001,320.0988231592196,12700,0.6328571022634109,0.5952681303024292,-0.1017477810382843,1.000000238418579,12700,0.7709597432655704,3
200,100,0.1,0.3,0.3,0.0264686731968302,0.0143503797999999,0.0004800433999999,0.1822544760666665,12970,207.954405975306,204.93332959873416,11.115,615.36768981,12970,206.48633612388832,211.1734012437458,8.199664096916301,609.3538148499999,12970,0.8001400125065518,0.6693054378032685,0.1700832817663316,1.9704067221800967,12970,60.546646106399386,47.0,35,110,12970,46.44954242281852,53.57071298837662,27.948986732959742,58.27468857526779,12970,0.0608478390285273,0.0580988,0.00415,0.2815446,12970,56.25684421642817,55.652666290457645,5.56136563876652,223.67613505596825,12970,57.786778105959264,51.59906122790386,7.470000000000001,310.3455093429777,12970,0.666858077725667,0.6234875321388245,-0.1243228688836097,1.000000238418579,12970,0.7325496163194828,4
100,100,0.1,0.1,0.3,0.0311804259189999,0.0201609999999999,0.0005002192,0.2831291849999997,7000,193.1103540916676,216.8270286767097,11.115,590.35148798,7000,201.12911730623424,218.8140694891189,8.199664096916301,720.41432542,7000,0.7638051213965759,0.6260429890893923,0.2681402462178368,1.7246891669045423,7000,41.57142857142857,39.0,25,70,7000,46.25934688942773,50.93561451911926,27.948986732959742,58.27468857526779,7000,0.0602712700285714,0.0579241,0.00425,0.344975,7000,57.12964373564525,55.45031405830457,5.695374449339208,246.9185003661471,7000,57.3295021435722,50.11508503875537,7.740000000000001,288.3566199584167,7000,0.651728951621601,0.6139819622039795,-0.1020525619387626,1.000000238418579,7000,0.7262705352380915,5
100,100,0.1,0.3,0.3,0.027427786575994,0.0214831753999998,0.0004800433999999,0.2461278593999998,6790,223.26466341470044,245.95377265,11.187,624.30097914,6790,222.83479336890412,249.2543951833333,9.023259911894272,671.35742454,6790,0.7880097635830978,0.6697753599475159,0.1700832817663316,1.7597575366084386,6790,43.41237113402062,42.0,21,69,6790,43.26284488840904,50.93561451911926,27.948986732959742,58.27468857526779,6790,0.0608365301620029,0.05719,0.00415,0.3110696,6790,56.40556189096489,54.8940099500298,5.56136563876652,213.52126721763088,6790,59.30341689622562,55.53158590308371,7.470000000000001,267.13265575833856,6790,0.6546721563025053,0.6183980107307434,-0.090403139591217,1.000000238418579,6790,0.7083415128690833,6
200,100,0.1,0.1,0.3,0.0248747987155205,0.0154122222222222,0.0005002192,0.2774355201999998,12430,226.07001860886197,261.6989171185185,11.115,644.92203988,12430,229.97636038446544,265.2421044464785,8.199664096916301,652.4146753,12430,0.775347083731563,0.6570541163285574,0.3190000280737877,2.00802117119056,12430,57.41995172968624,55.0,33,76,12430,66.7786301435469,53.57071298837662,21.29789448261261,190.10594999074937,12430,0.0625924832662912,0.06048,0.00415,0.3359441999999999,12430,57.63474678234614,56.4029817599301,5.56136563876652,221.25927825435016,12430,58.265114696238335,51.74909691629957,7.470000000000001,288.3566199584167,12430,0.6630149461442121,0.6552579402923584,-0.0938917100429534,1.000000238418579,12430,0.6871369973002898,7
200,75,0.1,0.3,0.3,0.030709480725753,0.0246651179,0.0004800433999999,0.2261484637999997,12520,200.61784807650008,206.3646540542269,11.133,615.36768981,12520,199.17203222838455,188.10539425717167,8.442555066079297,658.1858439,12520,0.800243693391084,0.6693054378032685,0.2681402462178368,1.950804013291156,12520,58.62140575079872,62.0,38,75,12520,58.37196267704868,67.91415269215902,37.26531564394633,77.69958476702372,12520,0.0629811908306709,0.0606156,0.00575,0.39147,12520,56.402520044547686,54.8594963046565,7.705506607929516,225.9410743801653,12520,59.32707709373266,52.71916089783931,10.35,287.6933333333334,12520,0.6599791341070711,0.6470896303653717,-0.1017477810382843,1.000000238418579,12520,0.6839389874265881,8
200,200,0.1,0.3,0.3,0.0281562680297532,0.0206324999999999,0.0004800433999999,0.2902019641999999,12410,211.5646405850377,226.3094380460548,11.115,627.60325514,12410,208.24845999198055,234.6955457189281,8.199664096916301,658.1858439,12410,0.7698610306892261,0.6601633429527283,0.2681402462178368,1.9763535111689383,12410,58.63336019339243,66.0,24,84,12410,21.62492846071384,25.46780725955963,13.974493366479871,29.13734428763389,12410,0.0625264609669621,0.0618865999999999,0.00425,0.335088,12410,57.81331416762304,57.957806114172456,5.695374449339208,227.76007915751305,12410,59.96288927802891,55.07281882562873,7.740000000000001,313.18809523809523,12410,0.641488033440827,0.5995575189590454,-0.1155503541231155,1.000000238418579,12410,0.6580389851523462,9
200,75,0.3,0.3,0.3,0.0305732980044841,0.0196613599999999,0.0004800433999999,0.2672323201999997,11490,217.21503680408665,256.96258009582544,11.115,629.50386391,11490,216.97884068787585,258.53405587333333,8.199664096916301,636.6917653,11490,0.7503112628130619,0.6378521422545115,0.318501743917271,1.94890923616632,11490,61.60574412532637,57.0,40,95,11490,56.15993063972346,67.91415269215902,37.26531564394633,77.69958476702372,11490,0.0638676459878154,0.0579248,0.00415,0.3421761999999999,11490,58.80037854180733,56.31126483195254,5.56136563876652,232.0701770582697,11490,60.134763892904616,54.076708860759496,7.470000000000001,287.78333333333336,11490,0.6477152992694843,0.611438512802124,-0.0866071432828903,1.000000238418579,11490,0.6309514368221714,10
200,75,0.3,0.1,0.3,0.0290095083270141,0.0205694999999999,0.0004800433999999,0.2408176001999997,12150,255.50522664205096,324.62187182665195,11.133,653.83176534,12150,257.7251634969509,317.28380928042714,8.442555066079297,658.1858439,12150,0.8846595903478223,0.6842162511808157,0.2898947823716574,2.470565483166645,12150,59.640329218107,54.0,45,79,12150,58.804590081982816,67.91415269215902,37.26531564394633,77.69958476702372,12150,0.065675324164609,0.060935,0.00415,0.3042382,12150,59.672941470008944,58.7514127862526,5.56136563876652,242.6276172542456,12150,62.03695670553245,54.46793592817711,7.470000000000001,336.0862072582337,12150,0.673653622723564,0.6588729619979858,-0.1017477810382843,1.000000238418579,12150,0.5847983512305789,11
