assignment,struct_id,Query Type,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
"(4, 0)",1,Art,5.939e-06,10.812584699999999,13.909384499999998,0.24160829707980153,0.24160835668444633
"(2, 2)",1,Art,1.1502e-05,14.770000000000001,19.6932841,0.25886887386441226,0.23924944847822188
"(4, 1)",1,Art,7.7385e-06,10.7936581,13.0136255,0.19971181675791735,0.1997118704020977
"(3, 1)",1,Art,9.3285e-06,11.6816314,16.6387996,0.19481007084250448,0.19481011033058165
"(0, 4)",1,Art,1.3870599999999999e-05,15.634715199999999,16.433494000000003,0.24397567249834534,0.2439756965264678
"(3, 2)",1,Geography,1.0344e-05,11.3369502,15.366094800000003,0.3221534177660942,0.2535402201116085
"(0, 0)",1,Geography,5.0978000000000006e-06,15.4973049,23.8534653,0.2773821525275707,0.24526585638523102
"(1, 0)",1,Geography,4.1108e-06,11.133651400000002,16.714765800000002,0.18395327534526582,0.1839533168822527
"(2, 0)",1,Geography,6.548199999999999e-06,13.3073309,19.5212384,0.16747020483016964,0.16747022103518247
"(4, 0)",1,Geography,5.5422e-06,10.4077233,13.669850299999998,0.3465431228280067,0.2706078998744488
"(4, 1)",1,History,8.3795e-06,11.5632138,13.937378999999998,0.2387157671153545,0.23871582001447678
"(0,)",0,History,2.065e-06,5.8413718,8.991044599999999,0.30886073932051655,0.22284367308020592
"(1, 0)",1,History,4.4704e-06,12.09906,18.128708,0.2125525869429111,0.21255259662866594
"(3, 1)",1,History,9.392499999999999e-06,11.6976224,16.6625776,0.18550732061266895,0.18550737760961056
"(0, 1)",1,History,7.084600000000001e-06,15.472343900000002,22.7050123,0.27748328298330305,0.27748333141207693
"(2, 1)",1,Music,1.00575e-05,15.317352,21.2616473,0.22710309941321608,0.22710315976291895
"(0, 4)",1,Music,1.3949000000000001e-05,15.6431994,16.4054498,0.2205396325327456,0.22053963951766492
"(3, 3)",1,Music,1.6397999999999998e-05,10.783711799999999,15.441757200000001,0.19357735738158222,0.19357739500701426
"(0, 1)",1,Music,7.348000000000001e-06,16.0081244,23.484986799999998,0.2289622480049729,0.22896226737648248
"(3, 1)",1,Music,1.10105e-05,12.6479544,18.0176896,0.19168862197548148,0.19168870542198418
"(3, 3)",1,Other,1.209e-05,8.9496106,12.8154124,0.28635586425662035,0.286355908587575
"(0, 3)",1,Other,1.22232e-05,13.184134199999999,19.5255928,0.24432511106133456,0.24432509504258632
"(3,)",0,Other,5.831999999999999e-06,3.3736752,4.8309408000000005,0.24230225197970862,0.2423022583127022
"(1, 1)",1,Other,5.9895e-06,11.491128,16.335,0.2414153158664703,0.241415311396122
"(1,)",0,Other,2.1340000000000002e-06,4.094176,5.82,0.2890215054154396,0.28902149945497513
"(4, 1)",1,Politics,9.181e-06,12.6147245,15.0858775,0.3825233973562717,0.3825234279036522
"(0,)",0,Politics,2.0496e-06,6.1220071,9.422998699999999,0.3240617051720619,0.3240617275238037
"(0, 4)",1,Politics,1.3658600000000002e-05,15.840542600000001,16.743453199999998,0.29678511768579485,0.29678514301776887
"(3, 4)",1,Politics,1.8258e-05,13.3177932,12.531076200000001,0.2681307841092348,0.26813082247972486
"(3,)",0,Politics,7.025999999999999e-06,4.1434622,5.9332388,0.25745704527944324,0.2574570758268237
"(0,)",0,Science and technology,1.9784e-06,5.5295548000000005,8.511095599999999,0.35148476734757417,0.3514847602695227
"(3, 3)",1,Science and technology,1.2827999999999998e-05,9.1303432,13.074212800000002,0.4019682578742504,0.3486969083547592
"(0, 3)",1,Science and technology,1.14788e-05,12.667635,18.7614666,0.2548311080783605,0.2548310775309801
"(2, 3)",1,Science and technology,1.1162e-05,10.477075000000001,14.5470346,0.3544377394020557,0.35443771705031396
"(1, 0)",1,Science and technology,4.730299999999999e-06,12.6091516,18.9076332,0.2511217296123504,0.25112167522311213
"(0, 4)",1,Sports,1.54444e-05,17.138637799999998,18.008477399999997,0.43375286981463435,0.3825024142861366
"(0,)",0,Sports,2.5606e-06,6.8703679,10.5748763,0.38268559798598284,0.3287679761648178
"(1, 1)",1,Sports,6.8585000000000005e-06,13.158344,18.705000000000002,0.3018639534711838,0.3018639855086803
"(4, 1)",1,Sports,8.514e-06,11.665050599999999,13.988243,0.3007283717393875,0.3007284410297871
"(3, 4)",1,Sports,1.7798e-05,12.7279515,11.906812300000002,0.38470831066370004,0.38470836728811264
"(3, 4)",1,TV shows,1.8636999999999998e-05,12.6407405,11.7342847,0.24699322078377003,0.24699326045811176
"(0,)",0,TV shows,2.3924e-06,6.23634,9.598980000000001,0.24335324168205258,0.2433532863855362
"(0, 1)",1,TV shows,6.6623000000000006e-06,14.425839400000001,21.1501058,0.22974820658564563,0.2297482334077358
