assignment,struct_id,Query Type,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
"(4,)",0,Art,3.7750000000000003e-06,3.2789168999999996,2.3546595,0.41620954424142836,0.4162095107138157
"(4, 0, 5)",7,Art,1.45406e-05,18.815938,20.1517464,0.3996870890259743,0.3996870517730713
"(2, 0, 5)",7,Art,1.6061400000000002e-05,22.2701368,26.4914836,0.3960141450166702,0.39601410925388336
"(2, 1, 1, 5)",55,Art,2.34475e-05,31.823954000000004,26.440973300000003,0.3921444624662399,0.3921444095671177
"(2, 0, 1, 5)",61,Art,1.86386e-05,28.388066000000002,35.3532299,0.3778013840317726,0.3778013713657856
"(4,)",0,Geography,3.2879999999999997e-06,2.8534086,2.049093,0.5838881760835648,0.583888190984726
"(4, 4)",1,Geography,9.623e-06,8.5185093,6.117321500000001,0.5837043941020965,0.5837044209241867
"(1,)",0,Geography,1.881e-06,3.608784,5.13,0.507219934463501,0.5072199270129204
"(4, 4, 4, 4)",41,Geography,2.2196999999999998e-05,19.798650900000002,14.217829500000002,0.587529119849205,0.5875291436910629
"(1, 4, 4)",5,Geography,1.4238e-05,14.7004641,13.050635499999999,0.5043574437499047,0.5043574437499047
"(3, 4, 2, 5)",57,History,3.3898e-05,31.334643399999997,31.269532000000005,0.45077826380729674,0.4507782593369484
"(3, 4)",1,History,1.2998999999999999e-05,10.3447044,9.6793022,0.43202232718467715,0.4320223405957222
"(3, 4, 5, 4)",43,History,3.2396e-05,26.756262900000003,21.5364627,0.43001207485795023,0.4300121087580919
"(3, 2, 5, 4)",43,History,3.1249e-05,29.5242735,29.553337000000006,0.42715720981359484,0.42715723887085916
"(3, 4, 4, 5)",51,History,3.2967e-05,27.158486599999996,16.416122,0.42020215317606924,0.4202022224664688
"(4, 3, 1, 5)",52,Music,2.26155e-05,20.810584,13.135318799999999,0.4420128852128983,0.44201290011405947
"(4, 3, 1, 5)",60,Music,2.42855e-05,24.5036547,23.6300492,0.4417600926011801,0.441760104522109
"(0, 3, 5)",6,Music,1.82578e-05,19.3031629,16.6851999,0.4299543872475624,0.4299544347450137
"(3, 1, 4, 5)",60,Music,2.4678e-05,23.0199205,17.2226745,0.4148294314742088,0.4148294433951378
"(1,)",0,Music,2.2990000000000004e-06,4.410736,6.2700000000000005,0.4047954872250557,0.4047955021262169
