struct_id,assignment,Mean_New_QoA_Score,Mean_Total_Cost,Mean_Total_Energy,Mean_Total_Latency
1,"(2, 3)",0.6,3.321333333333333e-05,38.99576486666667,53.648353166666666
0,"(2,)",0.5932958559443553,1.8053333333333332e-05,25.253333333333334,33.67102693333333
1,"(4, 3)",0.5861997719854116,2.4773500000000003e-05,22.590117499999998,24.28691655
1,"(4, 4)",0.5629381686449051,1.1443e-05,9.920183699999999,7.123893499999999
6,"(4, 1, 5)",0.5457750011235476,1.3650500000000001e-05,14.274964950000001,10.82288125
6,"(0, 4, 5)",0.5067224346101284,1.61492e-05,18.377626025,15.817027375
6,"(1, 4, 5)",0.5015845706686377,1.3720250000000001e-05,14.252265099999999,10.740359999999999
0,"(4,)",0.49942424272497493,1.6917533333333332e-05,14.956755800000002,10.740762333333334
6,"(4, 0, 5)",0.4901462795212865,1.666645e-05,18.774022725000002,16.239185675
6,"(2, 2, 5)",0.45366115495562553,1.933e-05,19.959346500000002,14.193921900000001
