struct_id,assignment,Mean_New_QoA_Score,Mean_Total_Cost,Mean_Total_Energy,Mean_Total_Latency
6,"(1, 1, 5)",0.9,5.23935e-05,72.66826019999999,51.95889100000001
1,"(2, 0)",0.8,2.49852e-05,53.1608616,76.7525864
5,"(4, 2, 3)",0.8,6.308199999999e-05,65.7023837,79.4155698
6,"(0, 1, 5)",0.8,4.79029e-05,74.184981,56.4580018
657,"(2, 3, 1, 3, 1)",0.8,8.006549999998999e-05,110.97058799999999,156.14952069999998
6,"(0, 0, 5)",0.7,4.5923299999999994e-05,79.15666765,59.82758355
52,"(1, 1, 2, 5)",0.7,7.255899999998999e-05,94.42120580000001,56.26286760000001
52,"(1, 1, 4, 5)",0.7,7.38665e-05,89.86425030000001,51.1957605
657,"(0, 3, 1, 3, 1)",0.7,7.245719999999e-05,112.15594100000001,162.507932
657,"(1, 3, 1, 3, 1)",0.7,7.722449999999e-05,111.5373,158.90952
