struct_id,assignment,Mean_New_QoA_Score,Mean_Total_Cost,Mean_Total_Energy,Mean_Total_Latency
1,"(4, 3)",0.5145165755413472,9.418749999999999e-06,8.432855499999999,9.6633835
5,"(3, 0, 0)",0.5,2.9875999999999997e-05,65.5668271,99.3741551
1,"(1, 3)",0.45017464763174453,9.138e-06,9.794132,13.979864
0,"(2,)",0.44711465403437617,1.58436e-05,21.334,28.44526222
0,"(4,)",0.4367799201263831,1.2987846153846154e-05,11.470112123076923,8.236929846153846
1,"(0, 0)",0.4267026148736477,1.11661e-05,37.51678205,57.74586385
1,"(3, 3)",0.41522205670674645,1.2684e-05,9.371319999999999,13.419280000000002
1,"(1, 4)",0.4004476589461168,9.269166666666668e-06,10.557865033333334,10.6126335
1,"(1, 0)",0.3964126598089933,1.3705e-05,34.8963797,51.884832900000006
1,"(3, 4)",0.39273192832867304,1.2881333333333333e-05,10.058417733333332,9.376556133333334
