assignment,struct_id,Query Type,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
"(3, 2, 5, 2, 2)",659,Art,4.1914999999999994e-05,45.173889900000006,54.3869352,0.16529258042573927,0.16529261246323584
"(3, 0, 5, 2, 2)",659,Art,3.2401000000000004e-05,40.713978100000006,51.45134410000001,0.15820054728537797,0.15820055976510047
"(4, 2, 5, 2, 2)",659,Art,3.5312000000000003e-05,40.320799400000006,46.4825187,0.15350715331733222,0.15350716542452575
"(0, 2, 5, 2, 2)",659,Art,3.9142e-05,48.8825317,59.87665830000001,0.2294613226316869,0.14795368164777756
"(3, 3, 5, 2, 2)",659,Art,4.2593e-05,41.0053921,49.804571800000005,0.14583208262920375,0.1458321038633585
"(0, 3, 5, 2, 0)",659,Geography,3.44916e-05,41.634091999999995,52.9230766,0.21609467566013332,0.2160947024822235
"(4, 0, 0, 5, 0)",675,Geography,1.89038e-05,33.447794099999996,31.9906771,0.19080629646778102,0.19080632403492928
"(3, 2, 0, 5, 0)",689,Geography,2.47176e-05,36.844221,47.6789028,0.17944842465221877,0.17944847829639912
"(1, 3, 5, 0, 0)",659,Geography,2.12312e-05,31.468306300000002,41.5940675,0.1647608561441302,0.164760915376246
"(1, 2, 2, 5, 0)",689,Geography,3.0078899999999998e-05,40.0685646,49.2069211,0.15165062919259065,0.1516506627202034
"(4, 2, 5, 0, 0)",659,History,2.63248e-05,39.3567834,48.6124492,0.1922757111489772,0.1922757513821125
"(3, 0, 5, 0, 0)",659,History,2.2812400000000002e-05,38.1878084,51.430796,0.18591377995908256,0.1859137922525406
"(4, 0, 0, 5)",51,History,1.74468e-05,27.4172035,20.951283999999998,0.24619579836726185,0.17638770416378974
"(0, 3, 0, 5, 0)",675,History,2.9155800000000003e-05,41.572285799999996,45.006332,0.17522293217480178,0.17522295136004687
"(0, 0)",1,History,4.8966e-06,15.715576800000003,24.1894296,0.16931569129228588,0.16931573748588563
"(0,)",0,Music,2.4328000000000002e-06,6.579338699999999,10.1269239,0.16294366456568238,0.1629436919465661
"(2, 0, 2, 5, 2)",689,Music,3.15102e-05,42.7861623,53.524531,0.16062183678150174,0.16062186136841775
"(4, 0, 0, 5, 2)",689,Music,2.5991399999999996e-05,39.0398445,48.5217687,0.15467452146112914,0.15467453859746455
"(0, 0, 5, 2, 0)",659,Music,2.5038399999999997e-05,44.2089918,58.9334132,0.1546111468225717,0.15461117289960385
"(0, 0)",1,Music,5.2898e-06,16.5574827,25.4852919,0.15219782628118989,0.15219789939001202
"(3, 0, 5, 2, 0)",659,Other,2.6809800000000002e-05,38.4924878,50.182676,0.18258365318179126,0.18258364051580428
"(3, 2, 5, 2, 2)",659,Other,3.6772999999999995e-05,40.633587,49.010967300000004,0.18027972336858508,0.18027973137795925
"(0, 2, 5, 2, 2)",659,Other,3.61308e-05,45.7655233,56.036716,0.20053066425025462,0.20053063109517097
"(0, 2, 5, 0, 0)",659,Other,2.55898e-05,43.1492937,56.5004593,0.2027297977358103,0.20272980704903604
"(0, 2, 5, 0, 2)",659,Other,3.122179999999999e-05,44.8005988,56.4731663,0.25932704508304594,0.2593270666897297
"(3, 0, 5)",7,Politics,1.9642999999999998e-05,23.0968741,27.762205899999998,0.24173605032265183,0.24173608794808388
"(0, 2, 5, 0, 2)",659,Politics,3.4363600000000004e-05,49.5705012,62.516280800000004,0.23227191269397732,0.23227193765342236
"(1, 2, 5, 0, 0)",659,Politics,2.5945e-05,42.8277314,55.6861763,0.23107260689139367,0.23107263594865798
"(3, 0, 0, 0, 5)",803,Politics,2.4830199999999998e-05,41.7615549,41.482027099999996,0.21626024134457106,0.21626026555895805
"(3, 0, 5, 2)",43,Politics,2.71682e-05,33.0268829,40.7355783,0.19898122437298293,0.19898125976324083
"(1, 0, 5, 2, 0)",659,Science and technology,2.34099e-05,38.837898100000004,51.0768697,0.20760492682456966,0.2076049368828535
"(4, 0, 5, 2, 0)",659,Science and technology,2.41552e-05,36.788884,46.013605,0.19976336546242232,0.19976337552070617
"(0, 2, 5, 0, 0)",659,Science and technology,2.6894800000000002e-05,43.9614266,57.1632317,0.19908950785174964,0.19908949630334974
"(1, 2, 5, 0, 2)",659,Science and technology,2.8132299999999998e-05,39.0367722,49.0184091,0.23897249829024073,0.18287164028733968
"(3, 0, 5, 0, 0)",659,Science and technology,2.24312e-05,37.7798914,50.826231199999995,0.1652808547019958,0.16528084874153137
"(4, 4, 5, 0, 0)",659,Sports,2.50334e-05,34.2231448,37.97509,0.21566501334309574,0.21566504016518592
"(0, 0, 2, 5, 0)",675,Sports,2.8357799999999998e-05,47.788707099999996,47.8230548,0.2066187627613544,0.2066188044846058
"(3, 3, 5, 2, 0)",659,Sports,3.7378999999999996e-05,40.4023106,50.6748578,0.20240125507116313,0.2024012938141823
"(4, 3, 5, 2, 0)",659,Sports,2.93548e-05,36.5907668,44.4107653,0.18587129637598987,0.18587132319808006
"(3, 0, 5, 2, 0)",659,Sports,3.03324e-05,42.1663599,54.9070236,0.18521459512412547,0.18521462064236402
"(4, 2, 5, 2, 2)",659,TV shows,3.4089e-05,38.5403808,44.3242138,0.16479522269219157,0.16479526776820422
"(3, 3, 5, 2, 2)",659,TV shows,4.5294e-05,41.0752261,49.4372088,0.16008245274424548,0.16008247882127763
"(0, 2, 5, 2, 2)",659,TV shows,3.60334e-05,45.2905614,55.613856299999995,0.18383905664086336,0.18383909463882447
"(4, 0, 5, 2, 2)",659,TV shows,2.9444600000000003e-05,37.663354500000004,45.2404695,0.2942782947793603,0.19960842095315456
"(3, 0, 5, 0, 0)",659,TV shows,2.4090400000000002e-05,38.3371968,51.791344800000005,0.213686728477478,0.21368670463562012
"(1, 2, 5, 0)",43,Video games,2.15708e-05,31.0921373,38.3037508,0.2301668114960193,0.23016679883003235
"(4, 2, 5, 2, 2)",659,Video games,3.7029e-05,42.1867263,48.493057900000004,0.22210304588079452,0.2221030332148075
"(3, 0, 5, 2, 2)",659,Video games,3.1945599999999994e-05,40.4425701,50.87435000000001,0.21813569292426105,0.21813569441437722
"(4, 2, 5, 0, 0)",659,Video games,2.5722800000000004e-05,38.370647,47.12468679999999,0.20793062970042225,0.20793062224984168
"(3, 0, 5, 2, 0)",659,Video games,2.8664800000000004e-05,40.749791900000005,52.9879366,0.1654542379081249,0.1654542550444603
"(0, 0, 0, 5)",57,biology_mmlu,6.0367799999999995e-05,120.56250689999999,160.9286151,0.9240147724747658,0.9
"(1, 1, 0, 5, 0)",689,biology_mmlu,8.39253e-05,153.7763538,204.9358566,1.0,0.9
"(2, 0, 0, 5)",57,biology_mmlu,7.400719999999e-05,124.4979904,160.9009626,0.9240147724747658,0.9
"(3, 0, 0, 1, 5)",803,biology_mmlu,9.15268e-05,145.9640998,144.00710009999997,0.9240147724747658,0.9
"(3, 1, 0, 5)",57,biology_mmlu,8.217639999999e-05,113.68725529999999,144.0490831,0.9240147724747658,0.9
"(4, 0, 5, 0, 1)",659,business_mmlu,6.85897e-05,109.15458100000001,133.497995,0.4802193805575371,0.3
"(4, 0, 5, 0)",43,business_mmlu,5.62236e-05,85.4207662,99.7549848,0.48149308413267133,0.3
"(4, 0, 5)",7,business_mmlu,4.9746999999999997e-05,62.1157327,63.8427537,0.481610806286335,0.3
"(4, 0, 0)",5,business_mmlu,3.16432e-05,63.283940699999995,83.84952849999999,0.47882056385278704,0.3
"(4, 1, 0)",5,business_mmlu,3.7490800000000004e-05,63.6899008,81.6713416,0.47735103145241736,0.3
"(1, 0, 0, 5, 0)",689,chemistry_mmlu,6.774759999999e-05,140.2020707,190.68244349999998,0.43308419585227964,0.2
"(1, 0, 3, 5, 0)",675,chemistry_mmlu,7.76948e-05,129.3463724,145.5615214,0.441225403547287,0.2
"(1, 1, 0, 0, 5)",803,chemistry_mmlu,7.54441e-05,141.4411129,144.03079350000002,0.4285334125161171,0.2
"(1, 1, 0, 5, 0)",675,chemistry_mmlu,7.51303e-05,141.0173767,146.5201933,0.41460674405097964,0.2
"(3, 0, 0, 5, 0)",689,chemistry_mmlu,7.081499999999999e-05,130.53481649999998,177.1950031,0.4265375480055809,0.2
"(1, 0, 0, 5)",57,computer science_mmlu,6.31621e-05,117.37129560000001,154.07198839999998,0.5244795467704535,0.4
"(3, 0, 0, 5, 0)",675,computer science_mmlu,7.66332e-05,139.8722297,142.0041616,0.513487109169364,0.4
"(1, 1, 5, 0)",43,computer science_mmlu,7.001759999999999e-05,117.184213,150.6206154,0.34309426359832285,0.2
"(0, 0)",1,computer science_mmlu,1.77106e-05,61.5838575,94.7899275,0.3602200668305159,0.1
"(0, 1, 5, 0)",43,computer science_mmlu,6.755650000000001e-05,122.8489848,160.8448324,0.593028387054801,0.5
"(0, 0, 0, 0, 5)",803,health_mmlu,5.75048e-05,130.5799545,138.47369559999999,0.6207265198230744,0.5
"(0, 0, 1, 5)",51,health_mmlu,5.91219e-05,109.64395850000001,102.79149509999999,0.6207265198230744,0.5
"(0, 0, 1, 5, 0)",675,health_mmlu,6.331049999999e-05,129.4016446,137.09414099999998,0.6230667293071747,0.5
"(0, 0, 5)",7,health_mmlu,4.16958e-05,75.4583477,95.75842329999999,0.6263717606663703,0.5
"(0, 4)",1,health_mmlu,3.13464e-05,46.3372214,53.33969080000001,0.45014348775148394,0.3
"(0, 1, 0, 0, 5)",803,history_mmlu,0.00010815099999999999,224.49757989999998,234.54929819999998,0.44534028563648465,0.4
"(1, 0, 5)",7,history_mmlu,8.217929999998999e-05,132.48540029999998,164.5548959,0.4573306096717715,0.4
"(1, 0, 5, 0)",43,history_mmlu,9.390629999999e-05,177.33704770000003,234.2100483,0.44534028563648465,0.4
"(3, 0, 0, 0, 5)",803,history_mmlu,0.00011138939999997998,207.9056599,212.2405456,0.4546970035880804,0.4
"(3, 0, 1, 5, 0)",675,history_mmlu,0.00012303099999998,208.6309413,212.0325677,0.4546970035880804,0.4
"(1, 0, 5, 0)",43,other_mmlu,4.53778e-05,83.3100232,108.915678,0.6419756125658751,0.5
"(1, 1, 5, 0, 0)",659,other_mmlu,5.73059e-05,106.1033498,141.212457,0.6419756125658751,0.5
"(1, 3)",1,other_mmlu,2.4273e-05,32.9867098,47.0368012,0.63767647780478,0.5
"(3, 3)",1,other_mmlu,2.7329999999999998e-05,26.273165,37.62191,0.6564394898712635,0.5
"(4, 0, 5, 0, 1)",659,other_mmlu,6.442009999999999e-05,102.0820976,124.802987,0.5829613249748945,0.4
"(0, 0, 0, 5, 0)",689,philosophy_mmlu,5.50914e-05,123.09543819999999,169.643217,0.45083539485931395,0.3
"(0, 1, 0, 5, 0)",675,philosophy_mmlu,6.06188e-05,122.4160903,129.39576110000002,0.46213288605213165,0.3
"(1, 1, 0, 5, 0)",675,philosophy_mmlu,6.60809e-05,122.4400292,127.27830220000001,0.43965463116765024,0.3
"(1, 1, 0, 5)",57,philosophy_mmlu,5.93062e-05,97.83811410000001,125.13329549999999,0.44317029118537904,0.3
"(2, 0, 5)",7,philosophy_mmlu,5.32466e-05,76.6956205,92.0097289,0.45723551139235497,0.3
"(1,)",0,physics_mmlu,1.2397e-05,23.784208,33.81,0.30141565501689904,0.1
"(4, 1, 5, 0)",43,physics_mmlu,7.032329999999999e-05,97.17535369999999,110.51013350000001,0.2800769090652465,0.1
"(4, 0, 5, 0, 0)",659,physics_mmlu,7.149479999999999e-05,123.7668398,154.5162748,0.2818567495793104,0.1
"(4, 4, 0, 5, 0)",675,physics_mmlu,8.739119999999999e-05,117.9509457,112.98086140000001,0.2800769090652465,0.1
