assignment,struct_id,Query Type,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
"(1, 0, 4, 1)",41,Art,1.55847e-05,26.0829705,33.5873585,0.3231279142200947,0.32312794476747514
"(0, 4, 5, 2, 3)",658,Art,3.4943799999999996e-05,36.095868,40.181230600000006,0.2679152656346559,0.2679152749478817
"(0, 4, 5, 5, 5)",1019,Art,5.6408999999999995e-05,51.9468074,42.5185088,0.2616651520133018,0.2616651300340891
"(1, 0, 4)",5,Art,1.1424000000000001e-05,18.2056544,22.3863296,0.2433580096811056,0.2433580534532666
"(2, 0, 5, 5, 0)",663,Art,2.72554e-05,38.077211399999996,44.32611,0.2422444567084312,0.24224448949098587
"(1, 3, 1, 3)",41,Geography,1.5867e-05,20.2171952,28.8359168,0.2955935388803482,0.29559356570243833
"(2, 3, 3, 5, 0)",689,Geography,2.94032e-05,32.5031361,41.330294200000004,0.29619659334421156,0.28228193521499634
"(4, 0, 5, 5, 1)",694,Geography,2.8399499999999998e-05,32.8576456,31.2145669,0.27327694669365876,0.27327699661254884
"(4, 3, 3, 5, 0)",675,Geography,2.15256e-05,25.386779,24.006190800000002,0.2548787802457809,0.2548788391053677
"(2, 1, 5, 5, 0)",691,Geography,2.62622e-05,34.0671155,38.8174155,0.23485494703054424,0.2209403146058321
"(0, 2, 1, 5, 1)",675,History,2.90141e-05,43.0583306,42.1602106,0.2037619665265083,0.20376201197504998
"(3, 3, 5, 3, 1)",659,History,3.4003e-05,32.356896899999995,39.985010900000006,0.19904382750391955,0.19904386214911937
"(2, 2, 5, 5, 1)",694,History,3.26195e-05,36.084235,30.989701000000004,0.1939910732209682,0.19399114400148393
"(2, 0, 1, 5, 1)",674,History,2.4842700000000002e-05,36.738165800000004,37.2752565,0.19310523234307764,0.1931052476167679
"(1, 2, 1, 5, 1)",689,History,2.87e-05,40.0797276,49.9830271,0.19178016036748885,0.1917801558971405
"(0, 2, 1, 5, 3)",692,Music,2.86347e-05,35.8244607,34.747865000000004,0.3923286087810993,0.3923285897821188
"(2, 3, 1, 5, 5)",948,Music,3.29935e-05,34.1015252,29.6555314,0.34388436451554294,0.3438844233751297
"(1, 0, 2, 4)",41,Music,2.41269e-05,32.5280952,39.9335662,0.22449357248842716,0.22449358440935613
"(3, 0, 0, 2, 3)",657,Music,2.7521000000000003e-05,36.535976500000004,53.1988608,0.24950984586030245,0.21749583259224892
"(0, 0, 5, 0, 5)",722,Music,2.7514400000000002e-05,38.8986939,35.4566735,0.20791109316051007,0.20791109204292296
"(3, 3, 3, 4, 5)",801,Other,3.5304e-05,27.7227933,24.214815100000003,0.2837950900197029,0.2837951175868511
"(4, 2, 3, 0, 5)",802,Other,2.46218e-05,30.000527899999998,26.4219565,0.26005007699131966,0.2600500948727131
"(1, 3, 5, 1)",43,Other,2.1517500000000002e-05,24.8994767,30.0088949,0.2537006556987762,0.25370067059993745
"(2, 3, 3, 5, 5)",933,Other,4.0873e-05,34.5042423,30.406731200000003,0.24239856339991092,0.2423985980451107
